Kovács Barna,1651,171
Joó Attila,1507,171
Szőcs Hunor,1638,246
Cîrlan Dragoș,1638,246
Miklós Hunor,1415,261
Vezsenyi Ákos,1451,182
Mihály László,1430,253
Bara Tamás,1430,253
Tóbiás András,1628,249
Mitra Tamás,1628,249
Istvándi Hunor,1451,168
Veres Alpár,1559,246
Kereki Dávid,1464,272
Kerekes Szabolcs,1464,272
Felházi Lóránd,1392,272
Katona Dávid,1392,272
Deményi Róbert,1415,261
Nagy Mátyás,1415,261
Kassay László,1500,256
Borsi Patrick,1500,256
Kiss Borbála,1356,194
Makkai József,1320,272
Grunzó Tímea,1608,272
Ordean Iulia,1464,272
Szegedi Francesca,1392,272
